# These are my subs. Feel free to check all these channels out, they're awesome.
Channel Id,Channel Url,Channel Title
UCGG87DgYg_NwZ9R1Ts9qZJQ,http://www.youtube.com/channel/UCGG87DgYg_NwZ9R1Ts9qZJQ,Craig Reynolds
UCGWulA1Y3-RGXlkoUI0uICA,http://www.youtube.com/channel/UCGWulA1Y3-RGXlkoUI0uICA,oscar404
UCGaVdbSav8xWuFWTadK6loA,http://www.youtube.com/channel/UCGaVdbSav8xWuFWTadK6loA,vlogbrothers
UCGrObrvRU4NPzndNYzfcseA,http://www.youtube.com/channel/UCGrObrvRU4NPzndNYzfcseA,Mark Lukens
UCH2soKsl68P0muhdsd1MDCg,http://www.youtube.com/channel/UCH2soKsl68P0muhdsd1MDCg,Cobus
UCHMaWSgPAVlLohSt1MSZ1ag,http://www.youtube.com/channel/UCHMaWSgPAVlLohSt1MSZ1ag,Dejojotheawsome
UCHdpnvKJDijKNe2caIasnww,http://www.youtube.com/channel/UCHdpnvKJDijKNe2caIasnww,Garbage Time
UCHnyfMqiRRG1u-2MsSQLbXA,http://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium
UCIPX3lgsfumednb91v7V5Lw,http://www.youtube.com/channel/UCIPX3lgsfumednb91v7V5Lw,Drew Fortune
UCIRiWCPZoUyZDbydIqitHtQ,http://www.youtube.com/channel/UCIRiWCPZoUyZDbydIqitHtQ,Mike Boyd
UCIa8y0yR-ABojLCpxX8BgDA,http://www.youtube.com/channel/UCIa8y0yR-ABojLCpxX8BgDA,Maker B
UCJHA_jMfCvEnv-3kRjTCQXw,http://www.youtube.com/channel/UCJHA_jMfCvEnv-3kRjTCQXw,Binging with Babish
UCJLZe_NoiG0hT7QCX_9vmqw,http://www.youtube.com/channel/UCJLZe_NoiG0hT7QCX_9vmqw,I did a thing
UCJaTzWgaz4r94ZwpT4OscIA,http://www.youtube.com/channel/UCJaTzWgaz4r94ZwpT4OscIA,What's Another Hobby
UCJquYOG5EL82sKTfH9aMA9Q,http://www.youtube.com/channel/UCJquYOG5EL82sKTfH9aMA9Q,Rick Beato
UCK70H_67YRgeA513ZHA2TIg,http://www.youtube.com/channel/UCK70H_67YRgeA513ZHA2TIg,JaDropping Science
UCK9WBLVJwLkX8GiUaMsm3_g,http://www.youtube.com/channel/UCK9WBLVJwLkX8GiUaMsm3_g,Barnso
UCKCTmact-90hXpV2ns8GSsA,http://www.youtube.com/channel/UCKCTmact-90hXpV2ns8GSsA,DevDuck
UCKSql-GFCO400w7xNFbYeug,http://www.youtube.com/channel/UCKSql-GFCO400w7xNFbYeug,Little King Goods
UCKwIWByGLhE8tuUIjddZt5Q,http://www.youtube.com/channel/UCKwIWByGLhE8tuUIjddZt5Q,DirtFish
UCKzJFdi57J53Vr_BkTfN3uQ,http://www.youtube.com/channel/UCKzJFdi57J53Vr_BkTfN3uQ,Primer
UCLXo7UDZvByw2ixzpQCufnA,http://www.youtube.com/channel/UCLXo7UDZvByw2ixzpQCufnA,Vox
UCMJDmsLldEfn9vJghxIO0zA,http://www.youtube.com/channel/UCMJDmsLldEfn9vJghxIO0zA,Isaac Norman
UCMOqf8ab-42UUQIdVoKwjlQ,http://www.youtube.com/channel/UCMOqf8ab-42UUQIdVoKwjlQ,Practical Engineering
UCMn-zv1SE-2y6vyewscfFqw,http://www.youtube.com/channel/UCMn-zv1SE-2y6vyewscfFqw,CrackerMilk
UCOByJpdngHV1Fg_6_S5MtJQ,http://www.youtube.com/channel/UCOByJpdngHV1Fg_6_S5MtJQ,candyshowroom
UCOT2iLov0V7Re7ku_3UBtcQ,http://www.youtube.com/channel/UCOT2iLov0V7Re7ku_3UBtcQ,Hank Green
UCOsATJw-IZgqGT8MFrHjKGg,http://www.youtube.com/channel/UCOsATJw-IZgqGT8MFrHjKGg,Ice Cream Sandwich
UCPCw5ycqW0fme1BdvNqOxbw,http://www.youtube.com/channel/UCPCw5ycqW0fme1BdvNqOxbw,ProjectAir
UCQIcXQ2n0sa-7CD0NtqnrrA,http://www.youtube.com/channel/UCQIcXQ2n0sa-7CD0NtqnrrA,Darko Audio
UCQJQB-ij7HNYKCyNdi0Y--Q,http://www.youtube.com/channel/UCQJQB-ij7HNYKCyNdi0Y--Q,Make With Miles
UCQTHJrYvW2ctoLmIki-3gUQ,http://www.youtube.com/channel/UCQTHJrYvW2ctoLmIki-3gUQ,Jambomus
UCR1IuLEqb6UEA_zQ81kwXfg,http://www.youtube.com/channel/UCR1IuLEqb6UEA_zQ81kwXfg,Real Engineering
UCRYhCg0DHloE9gn-PAiAYNg,http://www.youtube.com/channel/UCRYhCg0DHloE9gn-PAiAYNg,deep cuts
UCRcgy6GzDeccI7dkbbBna3Q,http://www.youtube.com/channel/UCRcgy6GzDeccI7dkbbBna3Q,LEMMiNO
UCS3lqf12QaNbpJg6h4RoNbA,http://www.youtube.com/channel/UCS3lqf12QaNbpJg6h4RoNbA,niko
UCSju5G2aFaWMqn-_0YBtq5A,http://www.youtube.com/channel/UCSju5G2aFaWMqn-_0YBtq5A,Stand-up Maths
UCSznxOhbQTjkc9DcnbLcutg,http://www.youtube.com/channel/UCSznxOhbQTjkc9DcnbLcutg,Hunter Creates Things
UCT5C7yaO3RVuOgwP8JVAujQ,http://www.youtube.com/channel/UCT5C7yaO3RVuOgwP8JVAujQ,Taskmaster
UCTROtIF7bDJc5klVGRzsMQw,http://www.youtube.com/channel/UCTROtIF7bDJc5klVGRzsMQw,polymatt
UCTUtqcDkzw7bisadh6AOx5w,http://www.youtube.com/channel/UCTUtqcDkzw7bisadh6AOx5w,12tone
UCU1v3aREdaFD6BA-FRLYUQQ,http://www.youtube.com/channel/UCU1v3aREdaFD6BA-FRLYUQQ,Tedward
UCU5O8FCtOTI4BWhfHF2LHJw,http://www.youtube.com/channel/UCU5O8FCtOTI4BWhfHF2LHJw,Liam Thompson
UCUFrBvQ96A-KeU6NgpemQXA,http://www.youtube.com/channel/UCUFrBvQ96A-KeU6NgpemQXA,Michael McIntyre
UCUHW94eEFW7hkUMVaZz4eDg,http://www.youtube.com/channel/UCUHW94eEFW7hkUMVaZz4eDg,minutephysics
UCUK0HBIBWgM2c4vsPhkYY4w,http://www.youtube.com/channel/UCUK0HBIBWgM2c4vsPhkYY4w,The Slow Mo Guys
UCUMwY9iS8oMyWDYIe6_RmoA,http://www.youtube.com/channel/UCUMwY9iS8oMyWDYIe6_RmoA,No Boilerplate
UCUdkjbeIFea0qUSgwR1CUOg,http://www.youtube.com/channel/UCUdkjbeIFea0qUSgwR1CUOg,Studying With Alex
UCUkRj4qoT1bsWpE_C8lZYoQ,http://www.youtube.com/channel/UCUkRj4qoT1bsWpE_C8lZYoQ,ThinMatrix
UCUr1l4LbQgBqIpMSo4llRBA,http://www.youtube.com/channel/UCUr1l4LbQgBqIpMSo4llRBA,Brandon Scott
UCUuMYw2l2UeWyTGYixYfRCA,http://www.youtube.com/channel/UCUuMYw2l2UeWyTGYixYfRCA,Evan and Katelyn
UCUzQJ3JBuQ9w-po4TXRJHiA,http://www.youtube.com/channel/UCUzQJ3JBuQ9w-po4TXRJHiA,jdh
UCV0t1y4h_6-2SqEpXBXgwFQ,http://www.youtube.com/channel/UCV0t1y4h_6-2SqEpXBXgwFQ,AngeTheGreat
UCVbA86KX-xaa2v9mSIfPcuQ,http://www.youtube.com/channel/UCVbA86KX-xaa2v9mSIfPcuQ,CookingAtHome
UCVbn813ctsoChuTT4LuLqrA,http://www.youtube.com/channel/UCVbn813ctsoChuTT4LuLqrA,JetPens
UCVc6AHfGw9b2zOE_ZGfmsnw,http://www.youtube.com/channel/UCVc6AHfGw9b2zOE_ZGfmsnw,Make Anything
UCW6MNdOsqv2E9AjQkv9we7A,http://www.youtube.com/channel/UCW6MNdOsqv2E9AjQkv9we7A,PwnFunction
UCW7LtGizqathWM2mUKYAx_g,http://www.youtube.com/channel/UCW7LtGizqathWM2mUKYAx_g,ZackGrooves
UCWO8iTEEuSBKkwQExIXvhwA,http://www.youtube.com/channel/UCWO8iTEEuSBKkwQExIXvhwA,Adam Wells Drums 
UCWTj3vCqkQIsrTGSm4kM34g,http://www.youtube.com/channel/UCWTj3vCqkQIsrTGSm4kM34g,Scott's Bass Lessons
UCWh6YtclgTAzReTASc4uSKw,http://www.youtube.com/channel/UCWh6YtclgTAzReTASc4uSKw,MAKC
UCWizIdwZdmr43zfxlCktmNw,http://www.youtube.com/channel/UCWizIdwZdmr43zfxlCktmNw,Alec Steele
UCWjxOXQaHl4R_pEwFgJgEsw,http://www.youtube.com/channel/UCWjxOXQaHl4R_pEwFgJgEsw,justinthetrees
UCX6MM35YgiqOrOjPKN1HOiA,http://www.youtube.com/channel/UCX6MM35YgiqOrOjPKN1HOiA,Conor Moore
UCXh9mHdcBD-3aGCiECZMP1Q,http://www.youtube.com/channel/UCXh9mHdcBD-3aGCiECZMP1Q,Not An Engineer
UCYFp9tOZEXOj0TSBqwKyxZQ,http://www.youtube.com/channel/UCYFp9tOZEXOj0TSBqwKyxZQ,Visual Thinker
UCYIEv9W7RmdpvFkHX7IEmyg,http://www.youtube.com/channel/UCYIEv9W7RmdpvFkHX7IEmyg,Taylor Tomlinson
UCYO_jab_esuFRV4b17AJtAw,http://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown
UCYzPXprvl5Y-Sf0g4vX-m6g,http://www.youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye
UCZCnDvgZWmEUuTFne6V_NjA,http://www.youtube.com/channel/UCZCnDvgZWmEUuTFne6V_NjA,Paper View
UCZP8DncdYaVB4HojExFyDyQ,http://www.youtube.com/channel/UCZP8DncdYaVB4HojExFyDyQ,metaldrummer47
UCZX6LAAGQM1s0_UtBws270Q,http://www.youtube.com/channel/UCZX6LAAGQM1s0_UtBws270Q,Shalz
UCZjkQtRELyrearglF3lYa8Q,http://www.youtube.com/channel/UCZjkQtRELyrearglF3lYa8Q,MEINL Cymbals
UC_28vUFWnh9qvJJ_GsXodhg,http://www.youtube.com/channel/UC_28vUFWnh9qvJJ_GsXodhg,Mirella Lukens
UC_ZOcNEBK87kdK88yMzdxXw,http://www.youtube.com/channel/UC_ZOcNEBK87kdK88yMzdxXw,matthew lim
UCb31gOY6OD8ES0zP8M0GhAw,http://www.youtube.com/channel/UCb31gOY6OD8ES0zP8M0GhAw,Max Fosh
UCb6kgJyChDCR4aK0-GEsZKQ,http://www.youtube.com/channel/UCb6kgJyChDCR4aK0-GEsZKQ,Chris Borge
UCb7w5aTnt7YeXBcVCY0mgFw,http://www.youtube.com/channel/UCb7w5aTnt7YeXBcVCY0mgFw,tecmath
UCb9nht6MEAInFJN_qNNUY5w,http://www.youtube.com/channel/UCb9nht6MEAInFJN_qNNUY5w,Irina van Dijk
UCbsfyGlrjrKQC0gbzK0-EiA,http://www.youtube.com/channel/UCbsfyGlrjrKQC0gbzK0-EiA,Jared Owen
UCbxQcz9k0NRRuy0ukgQTDQQ,http://www.youtube.com/channel/UCbxQcz9k0NRRuy0ukgQTDQQ,AustinMcConnell
UCd4_sBynhnEkv6pEVdrqbEQ,http://www.youtube.com/channel/UCd4_sBynhnEkv6pEVdrqbEQ,Jay Postones
UCd56yga015uI5hfOfnXdzCQ,http://www.youtube.com/channel/UCd56yga015uI5hfOfnXdzCQ,Paul Taylor
UCdC0An4ZPNr_YiFiYoVbwaw,http://www.youtube.com/channel/UCdC0An4ZPNr_YiFiYoVbwaw,Daily Dose Of Internet
UCdG5p24FH9cmpjQZeFsLpBg,http://www.youtube.com/channel/UCdG5p24FH9cmpjQZeFsLpBg,Good News
UCdJ9oJ2GUF8Vmb-G63ldGWg,http://www.youtube.com/channel/UCdJ9oJ2GUF8Vmb-G63ldGWg,Reactions
UCdXOkJ-bCjEEoEXrl1ilnAA,http://www.youtube.com/channel/UCdXOkJ-bCjEEoEXrl1ilnAA,Zacc Rowlands
UCddiUEpeqJcYeBxX1IVBKvQ,http://www.youtube.com/channel/UCddiUEpeqJcYeBxX1IVBKvQ,The Verge
UCeCQ1tCjehxQhDGl9NR1ZLQ,http://www.youtube.com/channel/UCeCQ1tCjehxQhDGl9NR1ZLQ,henrydidit
UCeD9_tDVA1wvqv1IF9QyP-A,http://www.youtube.com/channel/UCeD9_tDVA1wvqv1IF9QyP-A,BassBuzz
UCeVBDgameAI0Qhf7leaPhYw,http://www.youtube.com/channel/UCeVBDgameAI0Qhf7leaPhYw,James Veitch
UCeYy3kNtk_vhVSxZhi1WGJw,http://www.youtube.com/channel/UCeYy3kNtk_vhVSxZhi1WGJw,Would I Lie To You?
UCekQr9znsk2vWxBo3YiLq2w,http://www.youtube.com/channel/UCekQr9znsk2vWxBo3YiLq2w,You Suck At Cooking
UCempXys9JzA6dZuv5eW_gkg,http://www.youtube.com/channel/UCempXys9JzA6dZuv5eW_gkg,fromscratchbaker
UCex12WK97jGWn3YS6pg8iJw,http://www.youtube.com/channel/UCex12WK97jGWn3YS6pg8iJw,ItsMarloe
UCf63l7Wp_wX7T-5ChM_Km9Q,http://www.youtube.com/channel/UCf63l7Wp_wX7T-5ChM_Km9Q,NOS op 3
UCfFwvkI8a8tSWX2Z6Fn5zDg,http://www.youtube.com/channel/UCfFwvkI8a8tSWX2Z6Fn5zDg,MICHAELHICKOXFilms
UCfNyESJTDoZ6POPSo0AAC0g,http://www.youtube.com/channel/UCfNyESJTDoZ6POPSo0AAC0g,William Santacruz
UCfcxY_xh3V6engDMFhxlqZA,http://www.youtube.com/channel/UCfcxY_xh3V6engDMFhxlqZA,Big Tugg
UCfdNM3NAhaBOXCafH7krzrA,http://www.youtube.com/channel/UCfdNM3NAhaBOXCafH7krzrA,The Infographics Show
UCg6gPGh8HU2U01vaFCAsvmQ,http://www.youtube.com/channel/UCg6gPGh8HU2U01vaFCAsvmQ,Chris Titus Tech
UCgNg3vwj3xt7QOrcIDaHdFg,http://www.youtube.com/channel/UCgNg3vwj3xt7QOrcIDaHdFg,PolyMatter
UCgTK9gM7jrccRzhWLlnaSeg,http://www.youtube.com/channel/UCgTK9gM7jrccRzhWLlnaSeg,Pieter Derks
UCh9IfI45mmk59eDvSWtuuhQ,http://www.youtube.com/channel/UCh9IfI45mmk59eDvSWtuuhQ,Ryan George
UChFur_NwVSbUozOcF_F2kMg,http://www.youtube.com/channel/UChFur_NwVSbUozOcF_F2kMg,Mumbo Jumbo
UChPVoBpjfJngjoKjxrwGSTw,http://www.youtube.com/channel/UChPVoBpjfJngjoKjxrwGSTw,Drum Beats Online
UChl_NKOs1qqh_x7yJfaDpDw,http://www.youtube.com/channel/UChl_NKOs1qqh_x7yJfaDpDw,Tantan
UCiPApSjDJ_ShVUbCFZRzxQQ,http://www.youtube.com/channel/UCiPApSjDJ_ShVUbCFZRzxQQ,Shawn Crowder
UCi_t2g66DL2SVW9YVHt9yaA,http://www.youtube.com/channel/UCi_t2g66DL2SVW9YVHt9yaA,Nick Broomhall
UCihjJgRm3Th-quKmTW-9AwQ,http://www.youtube.com/channel/UCihjJgRm3Th-quKmTW-9AwQ,FP1Will
UCj1VqrHhDte54oLgPG4xpuQ,http://www.youtube.com/channel/UCj1VqrHhDte54oLgPG4xpuQ,Stuff Made Here
UCj4zC1Hfj-uc90FUXzRamNw,http://www.youtube.com/channel/UCj4zC1Hfj-uc90FUXzRamNw,Phoenix SC
UCj7ADiT-RzESYpAd90OeEKA,http://www.youtube.com/channel/UCj7ADiT-RzESYpAd90OeEKA,DarrenLevyOfficial
UCjVafr8HneXJE_IzNVZDASA,http://www.youtube.com/channel/UCjVafr8HneXJE_IzNVZDASA,Corey Myers Drums
UCk480B1pofOjThMfkBjhDpQ,http://www.youtube.com/channel/UCk480B1pofOjThMfkBjhDpQ,Workshop Companion
UCk8cfDW244sbkf7AVhB2W1A,http://www.youtube.com/channel/UCk8cfDW244sbkf7AVhB2W1A,Chris Hallbeck
UCkHN7h7CFeYL6Y1N5JcEZug,http://www.youtube.com/channel/UCkHN7h7CFeYL6Y1N5JcEZug,Sun Knudsen
UCkjrBN_GAjFJyVvjcI07KkQ,http://www.youtube.com/channel/UCkjrBN_GAjFJyVvjcI07KkQ,Natalie Lynn
